G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
10.0,28.0,24.0,4.0,5.0,1.0,1.0,0.0,2.0,11.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,0.16666666666666666,0.25,0.4583333333333333,0.7083333333333333,0.29166666666666663,0.125,,0.07142857142857142,0.25,0.10714285714285714,0.21428571428571427,0.7857142857142857,0.2727272727272727,248.64285714285714,0.25,0.4583333333333333,-1.7405873269888361,-0.2597999999999999,3.0,11.0,BP,S2,1,3TM,False,SFG,-0.07871652902899927
2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,1.0,0.0,300.4,0.0,0.0,-1.0482719901960473,-0.1984,0.0,3.0,BP,S2,1,WSH,True,WSH,-0.08780180550712538
1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,191.0,0.5,1.0,0.17515159255580948,-0.0155,0.0,0.0,BP,S2,1,MIN,True,MIN,0.024325316660572686
7.0,21.0,17.0,3.0,4.0,1.0,0.0,0.0,2.0,9.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.17647058823529413,0.2857142857142857,0.5294117647058824,0.8151260504201681,0.3529411764705882,0.08333333333333333,,0.09523809523809523,0.19047619047619047,0.14285714285714285,0.2727272727272727,0.7272727272727273,0.375,241.8095238095238,0.2857142857142857,0.5294117647058824,-0.867466929348598,-0.04589999999999994,3.0,8.0,BP,S2,1,SFG,True,SFG,-0.015240040182446546
1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,,,,76.5,1.0,1.0,1.3148760045131134,0.0678,0.0,0.0,BC,S2,2,CLE,False,CLE,0.13829775785630308
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,1.0,0.0,,287.5,0.5,0.0,-0.45555944123552927,-0.0557,1.0,0.0,BC,S2,3,ARI,False,ARI,-0.03874578671856119
9.0,20.0,20.0,6.0,4.0,3.0,0.0,0.0,3.0,15.0,8.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.3,0.3,0.75,1.05,0.45,0.3,0.5,0.15,0.35,0.0,0.5714285714285714,0.42857142857142855,1.3333333333333333,254.4090909090909,0.3,0.75,-0.3090108622136728,-0.3357,4.0,3.0,,S2,4,MIN,False,MIN,0.03720048782855011
11.0,26.0,25.0,6.0,2.0,3.0,2.0,0.0,1.0,11.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,0.0,0.24,0.2692307692307692,0.44,0.7092307692307692,0.2,0.29411764705882354,,0.038461538461538464,0.2692307692307692,0.038461538461538464,0.4166666666666667,0.5833333333333334,0.7142857142857143,254.96153846153845,0.2692307692307692,0.44,-0.9143409617203644,-0.19979999999999998,5.0,7.0,BP,S2,5,MTL,False,MTL,-0.0029020499071438334
9.0,19.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.11764705882352941,0.21052631578947367,0.11764705882352941,0.3281733746130031,0.0,0.2,,0.0,0.3684210526315789,0.10526315789473684,0.5,0.5,1.0,298.57894736842104,0.21052631578947367,0.11764705882352941,-5.146316192698298,-0.24439999999999995,4.0,4.0,BC,S2,6,2TM,False,ARI,-0.4499351239224083
4.0,9.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.125,0.2222222222222222,0.125,0.3472222222222222,0.0,0.3333333333333333,,0.0,0.5555555555555556,0.1111111111111111,0.5,0.5,1.0,286.55555555555554,0.2222222222222222,0.125,-2.5638403105840375,-0.060700000000000004,1.0,1.0,BC,S2,6,CLE,True,CLE,-0.22573832273594094
